MES;DEPARTAMENTO2;Serie Descripcion;Division;Categoria;Grupo;Proveedor;UNIDAD NEG 2025;UNIDAD POS 2026;COSTO NEG 2025;COSTO POS 2025;UNIDAD NEG 2026;UNIDAD NEG 2026;COSTO NEG 2026;COSTO POS 2026
ENERO;0;(en blanco);ARTICULOS OFICINA;PAPELERIA Y UTILES;SILICON;;;50;;L106.89;;;;
ENERO;0;(en blanco);ARTICULOS OFICINA;PAPELERIA Y UTILES;TAPE;;;686;;L7,985.81;;;;
ENERO;0;(en blanco);ARTICULOS OFICINA;PAPELERIA Y UTILES;TIJERA;;-960;1,970;-L14,193.25;L29,070.13;;;;
ENERO;0;(en blanco);COCINA;ENSERES DE HOGAR;MESAS;;;;;;;1;;L1.00
ENERO;0;(en blanco);CONSTRUCCION;HERRAMIENTAS;HERRAMIENTAS DE CONSTRUCCION;;;180;;L1,839.21;;;;
ENERO;0;(en blanco);CONSTRUCCION;HERRAMIENTAS;MAQUINARIA;;;1;;L100,970.57;;;;
ENERO;0;(en blanco);CONSTRUCCION;MATERIALES;ACCESORIOS DE GENERADORES;;-9;18;-L1,846,622.65;L3,693,245.29;;;;
ENERO;0;(en blanco);CONSTRUCCION;MATERIALES;CATALIZADOR;;-2;2;-L540.52;L540.52;;;;
ENERO;0;(en blanco);CONSTRUCCION;MATERIALES;MASILLA;;-2;2;-L1,152.36;L1,176.15;;;;
ENERO;0;(en blanco);CONSTRUCCION;MATERIALES;MATERIAL DE CONSTRUCCION;;-100;200;-L1,840.52;L3,681.04;;8;;L2,053.20
ENERO;0;(en blanco);CONSTRUCCION;MATERIALES;PINTURA;;;;;;;1;;L773.91
ENERO;0;(en blanco);ELECTRONICA;EQUIPO COMPUTO;CABLE/MECHAS;;;3;;L103.73;;;;
ENERO;0;(en blanco);ELECTRONICA;EQUIPO COMPUTO;COMPUTADORA;;;2;;L6,080.95;;;;
ENERO;0;(en blanco);ELECTRONICA;EQUIPO COMPUTO;MOUSE;;;1;;L164.05;;;;
ENERO;0;(en blanco);ELECTRONICA;EQUIPO COMPUTO;TECLADO;;;1;;L199.64;;;;
ENERO;0;(en blanco);EMPAQUES;BOLSAS;BOLSA LISA;;;89;;L2,047.57;;;;
ENERO;0;(en blanco);EMPAQUES;FLEJE;FLEJE;;;3,000;;L203,294.51;;;;
ENERO;0;(en blanco);LIMPIEZA;UTENSILIOS LIMPIEZA;AMBIENTALES;;;24;;L757.27;;;;
ENERO;0;(en blanco);LIMPIEZA;UTENSILIOS LIMPIEZA;ANTIBACTERIAL;;;60;;L1,730.38;;;;
ENERO;0;(en blanco);LIMPIEZA;UTENSILIOS LIMPIEZA;BOMBAS;;-1;1;-L16.44;L16.44;;;;
ENERO;0;(en blanco);LIMPIEZA;UTENSILIOS LIMPIEZA;HIGIENE;;;21;;L559.53;;4;;L1,554.68
ENERO;0;(en blanco);MECANICA;REPUESTOS Y ACCESORIOS;ACEITES;;-12;12;-L1,039.68;L1,093.72;;;;
ENERO;0;(en blanco);UNIFORMES;OPERATIVOS;CAMISETA POLO;;;3;;L435.00;;;;
ENERO;ADMINISTRACION DE INVENTARIO;Diarios de Suministros;ARTICULOS OFICINA;PAPELERIA Y UTILES;FASTENERS;;;;;;-2;;-L39.03;
ENERO;ADMINISTRACION DE INVENTARIO;Diarios de Suministros;ARTICULOS OFICINA;PAPELERIA Y UTILES;GRAPADORA;;;;;;-3;;-L397.79;
ENERO;ADMINISTRACION DE INVENTARIO;Diarios de Suministros;ARTICULOS OFICINA;PAPELERIA Y UTILES;NOTAS ADHESIVAS;;;;;;-6;;-L95.97;
ENERO;ADMINISTRACION DE INVENTARIO;Diarios de Suministros;ARTICULOS OFICINA;PAPELERIA Y UTILES;TALONARIOS;;;;;;-3;;-L180.00;
ENERO;ADMINISTRACION DE INVENTARIO;Diarios de Suministros;ARTICULOS OFICINA;PAPELERIA Y UTILES;TIJERA;;-1;;-L14.78;;;;;
ENERO;ADMINISTRACION DE INVENTARIO;Diarios de Suministros;COCINA;VIVERES;VIVERES;;-1;;-L71.57;;;;;
ENERO;ADMINISTRACION DE INVENTARIO;Diarios de Suministros;ELECTRONICA;EQUIPO COMPUTO;PATCH PANEL;;;;;;-5;;-L1,939.31;
ENERO;ADMINISTRACION DE INVENTARIO;Diarios de Suministros;ELECTRONICA;EQUIPO COMPUTO;TINTAS;;;;;;-3;;-L360.00;
ENERO;ADMINISTRACION DE INVENTARIO;Diarios de Suministros;LIMPIEZA;UTENSILIOS LIMPIEZA;PAPEL HIGIENICO;;;;;;-2;;-L227.04;
ENERO;ADMINISTRACION FINANCIERA;Diarios de Suministros;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;;;;;;-1;;-L577.56;
ENERO;ADMINISTRACION FINANCIERA;Diarios de Suministros;ARTICULOS OFICINA;PAPELERIA Y UTILES;SELLOS;;-4;;-L1,768.00;;;;;
ENERO;ADMINISTRACION FINANCIERA;Diarios de Suministros;ARTICULOS OFICINA;PAPELERIA Y UTILES;SOBRES;;-100;;-L43.48;;;;;
ENERO;ADMINISTRACION FINANCIERA;Diarios de Suministros;COCINA;UTENSILIOS DE COCINA;DESECHABLES;;;;;;-74;;-L1,001.33;
ENERO;ADMINISTRACION FINANCIERA;Diarios de Suministros;COCINA;VIVERES;VIVERES;;-1;;-L71.56;;-18;;-L1,716.60;
ENERO;ADMINISTRACION FINANCIERA;Diarios de Suministros;CONSTRUCCION;HERRAMIENTAS;HERRAMIENTAS DE CONSTRUCCION;;;;;;-2;;-L74.78;
ENERO;ADMINISTRACION FINANCIERA;Diarios de Suministros;CONSTRUCCION;MATERIALES;MATERIAL DE CONSTRUCCION;;;;;;-7;;-L47.51;
ENERO;ADMINISTRACION FINANCIERA;Diarios de Suministros;CONSTRUCCION;MATERIALES;PINTURA;;;;;;-3;;-L1,996.99;
ENERO;ADMINISTRACION FINANCIERA;Diarios de Suministros;CONSTRUCCION;MATERIALES;THINER;;;;;;-4;;-L176.68;
ENERO;ADMINISTRACION FINANCIERA;Diarios de Suministros;ELECTRONICA;EQUIPO COMPUTO;PLACAS;;;;;;-8;;-L149.22;
ENERO;ADMINISTRACION FINANCIERA;Diarios de Suministros;EMPAQUES;BOLSAS;BOLSA BASURA;;-11;;-L153.51;;-14;;-L195.13;
ENERO;ADMINISTRACION FINANCIERA;Diarios de Suministros;FARMACEUTICOS;MEDICAMENTOS;MATERIAL QUIRURGICO;;;;;;-3;;-L105.00;
ENERO;ADMINISTRACION FINANCIERA;Diarios de Suministros;LIMPIEZA;UTENSILIOS LIMPIEZA;AMBIENTALES;;;;;;-4;;-L189.85;
ENERO;ADMINISTRACION FINANCIERA;Diarios de Suministros;LIMPIEZA;UTENSILIOS LIMPIEZA;CHEMICOL;;-7;;-L11.60;;-5;;-L8.53;
ENERO;ADMINISTRACION FINANCIERA;Diarios de Suministros;LIMPIEZA;UTENSILIOS LIMPIEZA;DESINFECTANTES;;-8;;-L510.00;;-46;;-L781.47;
